5.469852e+05 4.142636e+06 38 0 39 1 -1 77
5.458807e+05 4.142290e+06 38 40 0 81 2 0
5.453689e+05 4.141228e+06 40 1 0 3 -1 1
5.431397e+05 4.141133e+06 1 40 41 2 83 4
5.424409e+05 4.139980e+06 41 2 1 5 -1 3
5.402594e+05 4.140025e+06 42 2 41 6 4 85
5.394986e+05 4.139088e+06 3 2 42 -1 5 7
5.374214e+05 4.139308e+06 43 3 42 8 6 87
5.364823e+05 4.138257e+06 4 3 43 -1 7 9
5.344029e+05 4.138682e+06 4 43 44 8 89 10
5.333528e+05 4.137716e+06 5 4 44 -1 9 11
5.313504e+05 4.138366e+06 44 45 5 91 12 10
5.301309e+05 4.137478e+06 6 5 45 -1 11 13
5.283088e+05 4.138318e+06 45 46 6 93 14 12
5.268612e+05 4.137482e+06 7 6 46 -1 13 15
5.253072e+05 4.138418e+06 7 46 47 14 95 16
5.236463e+05 4.137691e+06 8 7 47 -1 15 17
5.222319e+05 4.138828e+06 47 48 8 97 18 16
5.205422e+05 4.138279e+06 8 48 9 17 19 -1
5.192318e+05 4.139502e+06 48 49 9 99 20 18
5.175635e+05 4.139132e+06 10 9 49 -1 19 21
5.163539e+05 4.140360e+06 49 50 10 101 22 20
5.147242e+05 4.140073e+06 50 11 10 23 -1 21
5.134793e+05 4.141498e+06 51 11 50 24 22 103
5.118802e+05 4.141302e+06 12 11 51 -1 23 25
5.107687e+05 4.142850e+06 52 12 51 26 24 105
5.091257e+05 4.142820e+06 52 13 12 27 -1 25
5.081561e+05 4.144375e+06 13 52 53 26 107 28
5.064883e+05 4.144466e+06 53 14 13 29 -1 27
5.056792e+05 4.146192e+06 54 14 53 30 28 109
5.040689e+05 4.146446e+06 15 14 54 -1 29 31
5.033784e+05 4.148110e+06 15 54 55 30 111 32
5.017358e+05 4.148474e+06 16 15 55 -1 31 33
5.012096e+05 4.150228e+06 55 56 16 113 34 32
4.996512e+05 4.150732e+06 17 16 56 -1 33 35
4.992539e+05 4.152600e+06 17 56 57 34 115 36
4.977611e+05 4.153187e+06 57 18 17 37 -1 35
4.974623e+05 4.155040e+06 18 57 58 36 117 38
4.960170e+05 4.155735e+06 19 18 58 -1 37 39
4.958795e+05 4.157612e+06 59 19 58 40 38 119
4.945659e+05 4.158399e+06 19 59 20 39 41 -1
4.945521e+05 4.160340e+06 20 59 60 40 121 42
4.932279e+05 4.161230e+06 21 20 60 -1 41 43
4.934152e+05 4.163149e+06 21 60 61 42 123 44
4.922258e+05 4.164161e+06 21 61 22 43 45 -1
4.925032e+05 4.166017e+06 61 62 22 125 46 44
4.914193e+05 4.167058e+06 22 62 23 45 47 -1
4.918599e+05 4.168990e+06 62 63 23 127 48 46
4.908259e+05 4.170102e+06 23 63 24 47 49 -1
4.914145e+05 4.172018e+06 63 64 24 129 50 48
4.904898e+05 4.173207e+06 64 25 24 51 -1 49
4.912666e+05 4.175097e+06 65 25 64 52 50 131
4.904302e+05 4.176375e+06 65 26 25 53 -1 51
4.913563e+05 4.178181e+06 66 26 65 54 52 133
4.906078e+05 4.179538e+06 26 66 27 53 55 -1
4.916343e+05 4.181253e+06 66 67 27 135 56 54
4.910578e+05 4.182562e+06 27 67 28 55 57 -1
4.922276e+05 4.184258e+06 67 68 28 137 58 56
4.917097e+05 4.185669e+06 28 68 29 57 59 -1
4.931118e+05 4.187228e+06 68 69 29 139 60 58
4.926892e+05 4.188781e+06 29 69 30 59 61 -1
4.940778e+05 4.190131e+06 69 70 30 141 62 60
4.938710e+05 4.191717e+06 30 70 31 61 63 -1
4.952907e+05 4.192757e+06 31 70 71 62 143 64
4.953330e+05 4.194570e+06 71 32 31 65 -1 63
4.967592e+05 4.195283e+06 72 32 71 66 64 145
4.970060e+05 4.197220e+06 72 33 32 67 -1 65
4.984185e+05 4.197843e+06 33 72 73 66 147 68
4.987551e+05 4.199648e+06 34 33 73 -1 67 69
5.003934e+05 4.200217e+06 74 34 73 70 68 149
5.008223e+05 4.201944e+06 35 34 74 -1 69 71
5.025101e+05 4.202442e+06 75 35 74 72 70 151
5.030695e+05 4.204195e+06 36 35 75 -1 71 73
5.048352e+05 4.204532e+06 36 75 76 72 153 74
5.055758e+05 4.206146e+06 37 36 76 -1 73 75
5.077212e+05 4.206412e+06 76 77 37 155 76 74
5.081432e+05 4.207010e+06 78 37 77 -1 75 159
5.477058e+05 4.143830e+06 79 38 39 78 0 -1
5.477102e+05 4.144294e+06 38 79 80 77 160 79
5.461647e+05 4.145483e+06 81 38 80 80 78 163
5.449054e+05 4.144915e+06 82 38 81 81 79 166
5.446358e+05 4.144356e+06 40 38 82 1 80 82
5.431202e+05 4.143890e+06 40 82 83 81 169 83
